"Study Title:Freq"
"Magnetic Flux of FEM Coil:Wb"
Case,1,1,1,1,1,1,1,1,1,1,1,1
Case Group,,,,,,,,,,,,
Frequency(Hz),Coil2A:Real,Coil2A:Imaginary,Coil2B:Real,Coil2B:Imaginary,Coil2C:Real,Coil2C:Imaginary,Coil4A:Real,Coil4A:Imaginary,Coil4B:Real,Coil4B:Imaginary,Coil4C:Real,Coil4C:Imaginary
2,-2.00327090271e-05,-0.00165910380521,0.00143267117407,0.000845355195232,-0.00143781384758,0.000831255879833,-0.0253699999437,-0.0476420853596,0.0539447262013,0.00190240928015,-0.0285405578082,0.0458387426367
3,-4.19430353354e-06,-0.00169328729027,0.00146685265991,0.000849907443182,-0.00146657539363,0.00084708691825,-0.0265643561137,-0.0371093260557,0.0454330161674,-0.00443041255335,-0.0188758869851,0.0416340700834
4,-9.83398980413e-07,-0.00170034167857,0.00147327856875,0.000851267428595,-0.0014730151254,0.000850263866428,-0.0248174935798,-0.0299037017909,0.0383338997435,-0.00652662653064,-0.013497707311,0.0365402786068
5,-4.59514280555e-07,-0.00170245227686,0.00147493947846,0.000851807365016,-0.00147463388655,0.000851161996048,-0.0223907795192,-0.0252206843927,0.0330772795281,-0.00677706546567,-0.0106353397745,0.0321107711526
6,-2.77486793808e-07,-0.00170330672329,0.00147554936724,0.000852014031482,-0.00147526516935,0.000851542221496,-0.0200466881755,-0.0221390709363,0.0292457539536,-0.00630140916584,-0.00911789885341,0.0285479854221
7,-1.90752786525e-07,-0.00170371938088,0.00147582127776,0.000852109112237,-0.00147556137758,0.000851733736042,-0.0179871108141,-0.0200500348395,0.0264129441041,-0.00557732430907,-0.00831866011584,0.0257238734189
8,-1.38322423925e-07,-0.00170395078969,0.0014759593516,0.000852159689937,-0.0014757222042,0.000851848063451,-0.0162300947991,-0.0185872232833,0.0242709160591,-0.00480256842328,-0.00791182670189,0.0234719351043
9,-1.04240487279e-07,-0.00170409462473,0.00147604076561,0.000852190123215,-0.00147582120884,0.000851923872687,-0.0147411583881,-0.0175313558434,0.0226129356811,-0.00405625312631,-0.0077249162928,0.0216534225403
10,-8.21094882146e-08,-0.00170419103553,0.00147609356585,0.00085221077641,-0.00147588670359,0.000851976195171,-0.0134764284113,-0.0167483266593,0.0213013422159,-0.00336702244084,-0.00766376338668,0.0201638597989
13,-5.10919520297e-08,-0.00170435321108,0.0014761772286,0.000852247528259,-0.00147598959042,0.000852061769046,-0.0106584962244,-0.0153287112593,0.0186512801063,-0.00167411860126,-0.00780600301524,0.0169995017459
16,-3.72170949434e-08,-0.00170443534669,0.00147621480464,0.000852265729643,-0.00147603639971,0.000852104999535,-0.008783442118,-0.0146034750428,0.0170672850003,-0.000440823656547,-0.00808927891049,0.0149952401311
20,-2.68517294983e-08,-0.00170449660203,0.00147623914157,0.000852278136249,-0.00147606758611,0.000852137889316,-0.00710196556524,-0.0140867892504,0.0157520657124,0.000732725032488,-0.00845985071069,0.0132570653714
24,-2.06421321918e-08,-0.00170453255303,0.00147625119178,0.000852284566504,-0.0014760835242,0.000852157576641,-0.00595839794164,-0.0138028653335,0.0149091329574,0.00156731661656,-0.00877200920995,0.0121037929589
